Municipio;Fecha de patrullaje;Hora de Inicio del patrullaje;Hora de finalización de patrullaje;Región;Ubicación;Área protegida;Tipo de patrullaje;¿Existe otra institución involucrada en el patrullaje?;¿Cuál o cuáles son?;Otra (especifique);¿Observó Actividad ilegal?;CreationDate;EditDate;x;y
San Andres Semetabaj;8/13/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/13/2025 20:53:47.076;08/13/2025 20:53:47.076;-91.13139605;14.73432333
Tecpan;8/13/2025 18:00;08:00;16:07;Altiplano Central;fuera;Astillero municipal Tecpan Chimlatenango;ac_192;no;;;no;08/13/2025 22:09:14.818;08/13/2025 22:09:14.818;-90.9898913;14.7668116
San Antonio Palopó;8/13/2025 18:00;;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/13/2025 22:59:21.902;08/13/2025 22:59:21.902;-91.1147679;14.654852
San Antonio Palopó;8/13/2025 18:00;08:00;12:42;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/13/2025 22:59:25.343;08/13/2025 22:59:25.343;-91.11421922;14.65759917
San Pablo La Laguna;8/13/2025 18:00;08:35;15:50;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/13/2025 23:00:00.250;08/13/2025 23:00:00.250;-91.27385667;14.72601333
San Andres Semetabaj;08/14/2025 15:21:51.514;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/14/2025 21:17:41.611;08/14/2025 21:17:41.611;-91.1336018;14.74296779
Santiago Atitlán;8/14/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Guardarecursos munisipal;no;08/14/2025 22:33:51.152;08/14/2025 22:33:51.152;-91.23381314;14.62461927
Santiago Atitlán;8/14/2025 18:00;08:00;04:30;Altiplano Central;;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Guardarecursos municipal;no;08/14/2025 23:13:38.382;08/14/2025 23:13:38.382;-91.24453;14.61489
Tecpan;8/14/2025 18:00;08:18;16:37;Altiplano Central;fuera;Parque Regional, Astillero Municipal de Tecpan e Iximche.;ac_192;no;;;no;08/14/2025 23:25:51.058;08/14/2025 23:25:51.058;-91.00532;14.76126167
Tecpan;8/14/2025 18:00;08:00;;Altiplano Central;fuera;Parque regional astillero municipal;ac_192;no;;;no;08/14/2025 23:54:39.477;08/14/2025 23:54:39.477;-91.00699154;14.76203169
Nahuala;8/15/2025 18:00;08:30;14:10;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/15/2025 20:10:30.804;08/15/2025 20:10:30.804;-91.30580565;14.79910521
Santa Clara La Laguna;8/15/2025 18:00;11:01;14:38;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/15/2025 20:38:44.793;08/15/2025 20:38:44.793;-91.30805689;14.76189306
Santiago Atitlán;8/15/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/15/2025 22:23:30.102;08/15/2025 22:23:30.102;-91.27625833;14.62542667
Acatenango;8/15/2025 18:00;08:06;16:30;Altiplano Central;fuera;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/15/2025 22:25:19.807;08/15/2025 22:25:19.807;-90.92729167;14.57307333
Santiago Atitlán;8/15/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/15/2025 22:31:29.363;08/15/2025 22:31:29.363;-91.23393972;14.62473447
San Antonio Palopó;8/15/2025 18:00;08:15;16:38;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/15/2025 22:38:58.823;08/15/2025 22:38:58.823;-91.11697858;14.64950338
Tecpan;8/15/2025 18:00;08:10;16:38;Altiplano Central;fuera;Reserva Natural Privada. Finca Chirijuyu.;ac_192;no;;;no;08/15/2025 22:42:19.676;08/15/2025 22:42:19.676;-90.982215;14.74067167
Parramos;08/15/2025 20:07:47.087;09:07;16:35;Altiplano Central;fuera;Area protejida astilleros municipal parramos chimaltenango;ac_192;no;;;no;08/15/2025 23:16:00.624;08/15/2025 23:16:00.624;-90.8602155;14.5604963
Tecpan;8/15/2025 18:00;09:00;17:00;Altiplano Central;fuera;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/15/2025 23:30:16.805;08/15/2025 23:30:16.805;-90.97299975;14.7042757
Santa Catarina Palopó;8/18/2025 18:00;08:15;16:10;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/18/2025 14:25:56.607;08/18/2025 14:25:56.607;-91.12561952;14.71730098
Santiago Atitlán;8/15/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/18/2025 14:39:38.116;08/18/2025 14:39:38.116;-91.27615071;14.62598048
San José Chacaya;08/18/2025 16:31:13.912;;09:31;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/18/2025 17:38:33.264;08/18/2025 17:38:33.264;-91.2143584;14.77961117
San Andres Semetabaj;8/18/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/18/2025 21:47:47.621;08/18/2025 21:47:47.621;-91.10097343;14.70344519
Santiago Atitlán;8/18/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/18/2025 22:32:17.461;08/18/2025 22:32:17.461;-91.2486459;14.6793155
Santiago Atitlán;8/14/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Guardarecursos munisipal;no;08/18/2025 22:53:22.463;08/18/2025 22:53:22.463;-91.23381314;14.62461927
Santiago Atitlán;8/18/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/18/2025 22:53:27.054;08/18/2025 22:53:27.054;-91.23025008;14.6381398
Tecpan;8/18/2025 18:00;09:00;;Altiplano Central;fuera;Parque regional astillero municipal;ac_192;no;;;no;08/18/2025 23:02:59.865;08/18/2025 23:02:59.865;-91.01230048;14.75690881
Acatenango;8/18/2025 18:00;08:20;16:38;Altiplano Central;fuera;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;08/18/2025 23:22:27.905;08/18/2025 23:22:27.905;-91.2639821;14.212114
Santa Clara La Laguna;8/18/2025 18:00;09:38;14:50;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/18/2025 23:51:23.749;08/18/2025 23:51:23.749;-91.31139173;14.73409704
Acatenango;8/18/2025 18:00;08:03;16:31;Altiplano Central;fuera;Astillero san antonio nejapa acatenango;ac_192;no;;;no;08/19/2025 00:28:32.358;08/19/2025 00:28:32.358;-90.92844833;14.570515
Panajachel;8/19/2025 18:00;09:13;14:09;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/19/2025 20:58:39.511;08/19/2025 20:58:39.511;-91.1433817;14.7530583
San Andres Semetabaj;08/19/2025 14:14:27.216;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/19/2025 21:30:23.023;08/19/2025 21:30:23.023;-91.13342479;14.74488674
Parramos/Poaquil;8/18/2025 18:00;08:30;13:30;Altiplano Central;fuera;Parque Regional Municipal astillero pajales, astillero chicorona, astillero grande y astillero pequeño;ac_192;no;;;no;08/19/2025 22:03:34.247;08/19/2025 22:03:34.247;-90.85421333;14.56810333
Santa Lucia Utatlán;8/19/2025 18:00;10:00;16:00;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/19/2025 22:20:02.620;08/19/2025 22:20:02.620;-91.30150333;14.76806833
Tecpan;08/19/2025 16:30:50.526;08:09;16:46;Altiplano Central;fuera;Parque Regional Municipal, Astillero Municipal de Tecpan.;ac_192;no;;;no;08/19/2025 22:50:11.126;08/19/2025 22:50:11.126;-90.964296;14.7575695
Acatenango;8/19/2025 18:00;08:02;16:35;Altiplano Central;fuera;Astillero la soledad acatenango;ac_190;no;;;no;08/19/2025 22:57:00.337;08/19/2025 22:57:00.337;-90.9426853;14.5534702
Santa Maria Visitación;8/19/2025 18:00;08:00;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/19/2025 23:09:58.454;08/19/2025 23:09:58.454;-91.30984343;14.71664863
Santa Clara La Laguna;8/19/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;08/19/2025 23:16:29.468;08/19/2025 23:16:29.468;-91.32606205;14.74145119
Santiago Atitlán;8/19/2025 18:00;08:00;05:45;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/19/2025 23:47:05.572;08/19/2025 23:47:05.572;-91.24468367;14.61474595
Santiago Atitlán;8/19/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/19/2025 23:50:11.841;08/19/2025 23:50:11.841;-91.27377897;14.61837323
Santiago Atitlán;8/14/2025 18:00;08:00;04:30;Altiplano Central;;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Guardarecursos municipal;no;08/19/2025 23:53:43.374;08/19/2025 23:53:43.374;-91.24453;14.61489
Santiago Atitlán;08/19/2025 23:47:38.010;20:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/19/2025 23:54:52.278;08/19/2025 23:54:52.278;-91.27658;14.61004333
Tecpan;8/19/2025 18:00;08:00;16:00;Altiplano Central;fuera;Parque regional astillero municipal Tecpan;ac_192;no;;;no;08/20/2025 00:40:03.157;08/20/2025 00:40:03.157;-91.0055156;14.77530888
Parramos/Poaquil;8/20/2025 18:00;08:00;16:31;Altiplano Central;fuera;Parque Parque Regional Municipal Astillero Pajales, Astillero Chicorona, Astillero Grande y Astillero Pequeño;ac_192;no;;;no;08/20/2025 22:32:34.980;08/20/2025 22:32:34.980;-90.8060437;14.624059
Santa Clara La Laguna;8/20/2025 18:00;10:54;14:44;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/20/2025 22:45:30.312;08/20/2025 22:45:30.312;-91.32194092;14.73750146
Tecpan;8/20/2025 18:00;08:07;16:36;Altiplano Central;fuera;Parque Nacional IXIMCHE.;ac_192;no;;;no;08/20/2025 23:15:34.708;08/20/2025 23:15:34.708;-90.99773167;14.73766667
Santa Clara La Laguna;8/20/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/20/2025 23:20:12.678;08/20/2025 23:20:12.678;-91.29411999;14.74634257
Santa Lucia Utatlán;8/19/2025 18:00;10:00;13:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;si;08/20/2025 23:46:06.708;08/20/2025 23:46:06.708;-91.26677;14.77102333
Santa Lucia Utatlán;8/20/2025 18:00;08:30;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/20/2025 23:46:09.539;08/20/2025 23:46:09.539;-91.29735;14.71589333
San Antonio Palopó;8/20/2025 18:00;08:26;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/21/2025 01:59:32.666;08/21/2025 01:59:32.666;-91.1366513;14.7239837
Santa Lucia Utatlán;08/20/2025 15:32:48.804;08:30;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/21/2025 02:00:42.827;08/21/2025 02:00:42.827;-91.2981318;14.7156903
Santiago Atitlán;8/21/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/21/2025 18:56:07.954;08/21/2025 18:56:07.954;-91.2327142;14.6280323
SanJuan La Laguna;8/20/2025 18:00;08:00;15:04;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/21/2025 19:43:45.361;08/21/2025 19:43:45.361;-91.29785333;14.71564333
San José Chacaya;08/21/2025 19:54:39.969;13:54;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/21/2025 19:57:26.337;08/21/2025 19:57:26.337;-91.1173002;14.692103
Santiago Atitlán;8/21/2025 18:00;08:03;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/21/2025 22:34:36.512;08/21/2025 22:34:36.512;-91.23134859;14.62504995
Santiago Atitlán;8/21/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/21/2025 22:40:12.564;08/21/2025 22:40:12.564;-91.2312115;14.6291329
Acatenango;8/21/2025 18:00;08:00;16:30;Altiplano Central;fuera;Montaña el soco san antonio nejapa acatenango;ac_190;no;;;no;08/21/2025 23:06:23.424;08/21/2025 23:06:23.424;-90.9206;14.58038167
Santa Clara La Laguna;8/21/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;08/22/2025 03:08:39.944;08/22/2025 03:08:39.944;-91.31438803;14.73469012
Nahuala;8/22/2025 18:00;09:21;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/22/2025 20:15:33.198;08/22/2025 20:15:33.198;-91.289795;14.799525
San Lucas Tolimán;8/22/2025 18:00;;;Altiplano Central7;rumcla;Reserva de usos múltiples de la Cuenca del Lago 9de Atitlán;ac_192;no;;;no;08/22/2025 21:12:49.861;08/22/2025 21:12:49.861;-91.15720905;14.6204266
Santiago Atitlán;8/22/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/22/2025 21:37:05.764;08/22/2025 21:37:05.764;-91.23100333;14.62327833
San Lucas Tolimán;8/22/2025 18:00;20:40;15:20;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/22/2025 21:55:26.607;08/22/2025 21:55:26.607;-91.12403948;14.63605442
Santa Maria Visitación;8/22/2025 18:00;06:19;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Alcalde municipal, síndicos y cocodes.;no;08/22/2025 21:59:16.123;08/22/2025 21:59:16.123;-91.30867896;14.71703935
Acatenango;8/22/2025 18:00;08:00;16:38;Altiplano Central;fuera;Serro la campana aldea pacoc acatenango;ac_190;no;;;no;08/22/2025 22:49:55.924;08/22/2025 22:49:55.924;-90.943335;14.57596
Santiago Atitlán;8/22/2025 18:00;08:09;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;si;diprona,otra;Guardarecursos munisipal y rejente de probosque;si;08/22/2025 22:50:43.753;08/22/2025 22:50:43.753;-91.28553788;14.63360627
Santiago Atitlán;8/22/2025 18:00;08:00;09:18;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;si;diprona,otra;Guarda Recursos Municipal;si;08/23/2025 01:56:14.136;08/23/2025 01:56:14.136;-91.2790231;14.6292412
Santiago Atitlán;8/23/2025 18:00;06:00;03:55;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;si;diprona,otra;Guardarecursos munisipal;no;08/23/2025 22:06:32.875;08/23/2025 22:06:32.875;-91.23013093;14.64136455
Santiago Atitlán;8/23/2025 18:00;06:00;04:25;Altiplano Central;fuera;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;si;otra,diprona;Guarda Recursos Municipal;si;08/24/2025 02:31:10.053;08/24/2025 02:31:10.053;-91.2282063;14.6426266
San Andres Semetabaj;8/25/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/25/2025 21:54:22.419;08/25/2025 21:54:22.419;-91.13164088;14.74098782
Santa Clara La Laguna;8/25/2025 18:00;09:39;15:19;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/25/2025 23:20:32.107;08/25/2025 23:20:32.107;-91.29380851;14.74435795
Santiago Atitlán;8/25/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/26/2025 01:59:36.354;08/26/2025 01:59:36.354;-91.2423326;14.637088
Santa Clara La Laguna;8/25/2025 18:00;08:00;04:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;08/26/2025 13:58:29.574;08/26/2025 13:58:29.574;-91.31456604;14.73572791
Santa Maria Visitación;8/19/2025 18:00;08:44;15:35;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/26/2025 20:40:39.959;08/26/2025 20:40:39.959;-91.31825833;14.71959333
Santa Maria Visitación;8/22/2025 18:00;09:30;15:54;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Municipalidad;si;08/26/2025 20:40:44.924;08/26/2025 20:40:44.924;-91.30868;14.717065
Nahuala;8/26/2025 18:00;09:22;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/26/2025 21:51:50.481;08/26/2025 21:51:50.481;-91.32133167;14.85266333
Santiago Atitlán;8/26/2025 18:00;08:04;16:32;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/26/2025 22:33:39.923;08/26/2025 22:33:39.923;-91.23356773;14.62001682
Santa Maria Visitación;8/26/2025 18:00;09:00;15:50;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/26/2025 23:33:36.479;08/26/2025 23:33:36.479;-91.30975713;14.71649807
Santa Lucia Utatlán;8/26/2025 18:00;10:00;16:15;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_190;no;;;no;08/27/2025 03:07:50.804;08/27/2025 03:07:50.804;-91.26767667;14.77643333
Santiago Atitlán;8/26/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Viveristas Municipal;no;08/27/2025 04:22:10.707;08/27/2025 04:22:10.707;-91.2393266;14.622898
Santa Catarina Palopó;8/25/2025 18:00;08:15;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/27/2025 14:12:15.286;08/27/2025 14:12:15.286;-91.1369512;14.7239822
San José Chacaya;08/27/2025 15:04:03.322;09:04;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/27/2025 16:52:33.069;08/27/2025 16:52:33.069;-91.21423342;14.76930315
Santa Clara La Laguna;08/27/2025 15:14:37.557;09:14;15:49;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/27/2025 21:51:08.435;08/27/2025 21:51:08.435;-91.29646987;14.71233466
Santa Catarina Palopó;8/27/2025 18:00;08:09;16:12;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/27/2025 22:04:13.550;08/27/2025 22:04:13.550;-91.13531588;14.7222129
Santiago Atitlán;8/27/2025 18:00;08:00;16:30;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Un Guarda Recurso Municipal;no;08/27/2025 22:48:04.775;08/27/2025 22:48:04.775;-91.2312115;14.6280402
Santiago Atitlán;8/27/2025 18:00;08:00;04:55;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Guardarecursos munisipal;no;08/27/2025 22:59:30.516;08/27/2025 22:59:30.516;-91.23583626;14.62297788
San Lucas Tolimán;8/27/2025 18:00;22:20;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/28/2025 00:44:50.227;08/28/2025 00:44:50.227;-91.1405435;14.63344543
Santiago Atitlán;8/27/2025 18:00;08:00;;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;si;otra;Guardarecurdos de la municipalodad;no;08/28/2025 02:32:25.576;08/28/2025 02:32:25.576;-91.23585833;14.62109333
Santa Clara La Laguna;8/28/2025 18:00;09:06;14:47;Altiplano Central;rumcla;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/28/2025 20:49:14.831;08/28/2025 20:49:14.831;-91.3109397;14.73055955
San Andres Semetabaj;08/28/2025 16:36:14.458;08:00;16:30;Altiplano Central;;Reserva de usos múltiples de la Cuenca del Lago de Atitlán;ac_192;no;;;no;08/28/2025 22:02:37.518;08/28/2025 22:02:37.518;-91.13151398;14.74115997
